x
1
47
27
8
48
49
45
41
17
20
13
31
24
30
10
6
3
4
39
15
28
26
32
25
34
43
18
40
33
42
22
38
2
19
14
16
12
46
36
11
37
23
44
7
21
29
9
5
35
50
